"","titles","authors","subjects","abstracts","metadata"
"73","discovery of a low-redshift hot dust-obscured galaxy","guodong li, chao-wei tsai, daniel stern, jingwen wu, roberto j. assef, andrew w. blain, tanio díaz-santos, peter r. m. eisenhardt, roger l. griffith, thomas h. jarrett, hyunsung d. jun, sean e. lake, m. lynne saade","astrophysics of galaxies (astro-ph.ga)","we report the discovery of the hyperluminous, highly obscured agn wise j190445.04+485308.9 (w1904+4853 hereafter, $l_{bol} = 1.1 \times 10^{13} \ l_{\odot}$) at z=0.415. its well-sampled spectral energy distribution (sed) is dominated by infrared dust emission, though broad emission lines are detected in the optical spectra. these features suggest that w1904+4853 contains an actively accreting supermassive black hole hidden in its dusty cocoon, resembling the observed properties of hot dust-obscured galaxies (hot dogs), a population previously only identified at z>1.0. using the broad component of the mgii emission line, we estimate a black hole mass of $log \ (m_{bh}/m_{\odot}) = 8.4 \pm 0.4$. the corresponding eddington ratio of 1.4 implies that the central black hole accretion is at the theoretical limit of isotropic accretion. the rest-frame uv-optical sed also indicates that the host galaxy of w1904+4853 harbors strong star formation activity at the rate of $6-84 \ m_{\odot} \ \rm{yr^{-1}}$ with an independent estimate of sfr up to $\sim 45 \ m_{\odot} \ \rm{yr^{-1}}$ using the [o ii] emission line. with an estimated stellar mass of $3 \times 10^{10} \ m_{\odot}$, the host galaxy appears to be a starburst system with respect to the main sequence of the star-forming galaxies at the same redshift. although blueshifted and asymmetric [o iii] emission provides evidence of an outflow, we estimate it to be an order of magnitude smaller than the star formation rate, indicating that the current obscured agn activity at the center has not yet produced significant feedback on the host galaxy star formation activity. w1904+4853 supports the interpretation that hot dogs are a rare transitional phase of agn accretion in galaxy evolution, a phase that can persist into the present-day universe.","tue, 23 may 2023 06:46:09 utc (555 kb)[v2] thu, 6 jul 2023 19:08:10 utc (3,697 kb)[v3] tue, 21 nov 2023 21:32:11 utc (2,566 kb)"
"74","susana distancia is all you need: enforcing class separability in metric learning via two novel distance-based loss functions for few-shot image classification","mauricio mendez-ruiz, jorge gonzalez-zapata, ivan reyes-amezcua, daniel flores-araiza, francisco lopez-tiro, andres mendez-vazquez, gilberto ochoa-ruiz","computer vision and pattern recognition (cs.cv)","few-shot learning is a challenging area of research that aims to learn new concepts with only a few labeled samples of data. recent works based on metric-learning approaches leverage the meta-learning approach, which is encompassed by episodic tasks that make use a support (training) and query set (test) with the objective of learning a similarity comparison metric between those sets. due to the lack of data, the learning process of the embedding network becomes an important part of the few-shot task. previous works have addressed this problem using metric learning approaches, but the properties of the underlying latent space and the separability of the difference classes on it was not entirely enforced. in this work, we propose two different loss functions which consider the importance of the embedding vectors by looking at the intra-class and inter-class distance between the few data. the first loss function is the proto-triplet loss, which is based on the original triplet loss with the modifications needed to better work on few-shot scenarios. the second loss function, which we dub icnn loss is based on an inter and intra class nearest neighbors score, which help us to assess the quality of embeddings obtained from the trained network. our results, obtained from a extensive experimental setup show a significant improvement in accuracy in the miniimagennet benchmark compared to other metric-based few-shot learning methods by a margin of 2%, demonstrating the capability of these loss functions to allow the network to generalize better to previously unseen classes. in our experiments, we demonstrate competitive generalization capabilities to other domains, such as the caltech cub, dogs and cars datasets compared with the state of the art.","mon, 15 may 2023 23:12:09 utc (10,028 kb)[v2] wed, 17 may 2023 00:58:41 utc (10,028 kb)[v3] thu, 18 may 2023 20:41:34 utc (10,028 kb)"
"75","reconstructing animatable categories from videos","gengshan yang, chaoyang wang, n dinesh reddy, deva ramanan","computer vision and pattern recognition (cs.cv)","building animatable 3d models is challenging due to the need for 3d scans, laborious registration, and manual rigging, which are difficult to scale to arbitrary categories. recently, differentiable rendering provides a pathway to obtain high-quality 3d models from monocular videos, but these are limited to rigid categories or single instances. we present rac that builds category 3d models from monocular videos while disentangling variations over instances and motion over time. three key ideas are introduced to solve this problem: (1) specializing a skeleton to instances via optimization, (2) a method for latent space regularization that encourages shared structure across a category while maintaining instance details, and (3) using 3d background models to disentangle objects from the background. we show that 3d models of humans, cats, and dogs can be learned from 50-100 internet videos.","wed, 10 may 2023 17:56:21 utc (90,604 kb)"
"76","quantifying uncertainties on the tip of the red giant branch method","barry f. madore, wendy l. freedman kayla a. owens, in sung jang","solar and stellar astrophysics (astro-ph.sr)","we present an extensive grid of numerical simulations quantifying the uncertainties in measurements of the tip of the red giant branch (trgb). these simulations incorporate a luminosity function composed of 2 magnitudes of red giant branch (rgb) stars leading up to the tip, with asymptotic giant branch (agb) stars contributing exclusively to the luminosity function for at least a magnitude above the rgb tip. we quantify the sensitivity of the trgb detection and measurement to three important error sources: (1) the sample size of stars near the tip, (2) the photometric measurement uncertainties at the tip, and (3) the degree of self-crowding of the rgb population. the self-crowding creates a population of supra-trgb stars due to the blending of one or more rgb stars just below the tip. this last population is ultimately difficult, though still possible, to disentangle from true agb stars. in the analysis given here, the precepts and general methodology as used in the chicago-carnegie hubble program (cchp) has been followed. however, in the appendix, we introduce and test a set of new tip detection kernels which internally incorporate self-consistent smoothing. these are generalizations of the two-step model used by the cchp (smoothing followed by sobel-filter tip detection), where the new kernels are based on successive binomial-coefficient approximations to the derivative-of-a-gaussian (dog) edge detector, as is commonly used in modern digital image processing.","wed, 10 may 2023 14:27:03 utc (27,463 kb)"
"77","personalize segment anything model with one shot","renrui zhang, zhengkai jiang, ziyu guo, shilin yan, junting pan, xianzheng ma, hao dong, peng gao, hongsheng li","computer vision and pattern recognition (cs.cv)","driven by large-data pre-training, segment anything model (sam) has been demonstrated as a powerful and promptable framework, revolutionizing the segmentation models. despite the generality, customizing sam for specific visual concepts without man-powered prompting is under explored, e.g., automatically segmenting your pet dog in different images. in this paper, we propose a training-free personalization approach for sam, termed as persam. given only a single image with a reference mask, persam first localizes the target concept by a location prior, and segments it within other images or videos via three techniques: target-guided attention, target-semantic prompting, and cascaded post-refinement. in this way, we effectively adapt sam for private use without any training. to further alleviate the mask ambiguity, we present an efficient one-shot fine-tuning variant, persam-f. freezing the entire sam, we introduce two learnable weights for multi-scale masks, only training 2 parameters within 10 seconds for improved performance. to demonstrate our efficacy, we construct a new segmentation dataset, perseg, for personalized evaluation, and test our methods on video object segmentation with competitive performance. besides, our approach can also enhance dreambooth to personalize stable diffusion for text-to-image generation, which discards the background disturbance for better target appearance learning. code is released at this https url","thu, 4 may 2023 17:59:36 utc (39,764 kb)[v2] wed, 4 oct 2023 01:15:21 utc (32,396 kb)"
"78","lostpaw: finding lost pets using a contrastive learning-based transformer with visual input","andrei voinea, robin kock, maruf a. dhali","computer vision and pattern recognition (cs.cv)","losing pets can be highly distressing for pet owners, and finding a lost pet is often challenging and time-consuming. an artificial intelligence-based application can significantly improve the speed and accuracy of finding lost pets. in order to facilitate such an application, this study introduces a contrastive neural network model capable of accurately distinguishing between images of pets. the model was trained on a large dataset of dog images and evaluated through 3-fold cross-validation. following 350 epochs of training, the model achieved a test accuracy of 90%. furthermore, overfitting was avoided, as the test accuracy closely matched the training accuracy. our findings suggest that contrastive neural network models hold promise as a tool for locating lost pets. this paper provides the foundation for a potential web application that allows users to upload images of their missing pets, receiving notifications when matching images are found in the application's image database. this would enable pet owners to quickly and accurately locate lost pets and reunite them with their families.","fri, 28 apr 2023 11:23:44 utc (4,889 kb)"
"79","slomo: a general system for legged robot motion imitation from casual videos","john z. zhang, shuo yang, gengshan yang, arun l. bishop, deva ramanan, zachary manchester","robotics (cs.ro)","we present slomo: a first-of-its-kind framework for transferring skilled motions from casually captured ""in the wild"" video footage of humans and animals to legged robots. slomo works in three stages: 1) synthesize a physically plausible reconstructed key-point trajectory from monocular videos; 2) optimize a dynamically feasible reference trajectory for the robot offline that includes body and foot motion, as well as contact sequences that closely tracks the key points; 3) track the reference trajectory online using a general-purpose model-predictive controller on robot hardware. traditional motion imitation for legged motor skills often requires expert animators, collaborative demonstrations, and/or expensive motion capture equipment, all of which limits scalability. instead, slomo only relies on easy-to-obtain monocular video footage, readily available in online repositories such as youtube. it converts videos into motion primitives that can be executed reliably by real-world robots. we demonstrate our approach by transferring the motions of cats, dogs, and humans to example robots including a quadruped (on hardware) and a humanoid (in simulation). to the best knowledge of the authors, this is the first attempt at a general-purpose motion transfer framework that imitates animal and human motions on legged robots directly from casual videos without artificial markers or labels.","thu, 27 apr 2023 17:53:27 utc (42,614 kb)[v2] tue, 5 sep 2023 13:45:16 utc (7,802 kb)"
"80","cluster flow: how a hierarchical clustering layer make allows deep-nns more resilient to hacking, more human-like and easily implements relational reasoning","ella gale, oliver matthews","machine learning (cs.lg)","despite the huge recent breakthroughs in neural networks (nns) for artificial intelligence (specifically deep convolutional networks) such nns do not achieve human-level performance: they can be hacked by images that would fool no human and lack `common sense'. it has been argued that a basis of human-level intelligence is mankind's ability to perform relational reasoning: the comparison of different objects, measuring similarity, grasping of relations between objects and the converse, figuring out the odd one out in a set of objects. mankind can even do this with objects they have never seen before. here we show how clusterflow, a semi-supervised hierarchical clustering framework can operate on trained nns utilising the rich multi-dimensional class and feature data found at the pre-softmax layer to build a hyperspacial map of classes/features and this adds more human-like functionality to modern deep convolutional neural networks. we demonstrate this with 3 tasks. 1. the statistical learning based `mistakes' made by infants when attending to images of cats and dogs. 2. improving both the resilience to hacking images and the accurate measure of certainty in deep-nns. 3. relational reasoning over sets of images, including those not known to the nn nor seen before. we also demonstrate that clusterflow can work on non-nn data and deal with missing data by testing it on a chemistry dataset. this work suggests that modern deep nns can be made more human-like without re-training of the nns. as it is known that some methods used in deep and convolutional nns are not biologically plausible or perhaps even the best approach: the clusterflow framework can sit on top of any nn and will be a useful tool to add as nns are improved in this regard.","thu, 27 apr 2023 10:41:03 utc (6,003 kb)"
"81","hyperbolic image-text representations","karan desai, maximilian nickel, tanmay rajpurohit, justin johnson, ramakrishna vedantam","computer vision and pattern recognition (cs.cv)","visual and linguistic concepts naturally organize themselves in a hierarchy, where a textual concept ""dog"" entails all images that contain dogs. despite being intuitive, current large-scale vision and language models such as clip do not explicitly capture such hierarchy. we propose meru, a contrastive model that yields hyperbolic representations of images and text. hyperbolic spaces have suitable geometric properties to embed tree-like data, so meru can better capture the underlying hierarchy in image-text datasets. our results show that meru learns a highly interpretable and structured representation space while being competitive with clip's performance on standard multi-modal tasks like image classification and image-text retrieval. our code and models are available at this https url","tue, 18 apr 2023 17:59:45 utc (5,474 kb)[v2] tue, 6 jun 2023 00:33:42 utc (4,887 kb)[v3] thu, 18 jan 2024 17:13:21 utc (4,903 kb)"
"82","generating adversarial attacks in the latent space","nitish shukla, sudipta banerjee","machine learning (cs.lg)","adversarial attacks in the input (pixel) space typically incorporate noise margins such as $l_1$ or $l_{\infty}$-norm to produce imperceptibly perturbed data that confound deep learning networks. such noise margins confine the magnitude of permissible noise. in this work, we propose injecting adversarial perturbations in the latent (feature) space using a generative adversarial network, removing the need for margin-based priors. experiments on mnist, cifar10, fashion-mnist, cifar100 and stanford dogs datasets support the effectiveness of the proposed method in generating adversarial attacks in the latent space while ensuring a high degree of visual realism with respect to pixel-based adversarial attack methods.","mon, 10 apr 2023 05:11:59 utc (3,101 kb)"
"83","an atlas of the heterogeneous viscoelastic brain with local power-law attenuation synthesised using prony-series","oisin morrison, michel destrade, bharat b. tripathi","medical physics (physics.med-ph)","this review addresses the acute need to acknowledge the mechanical heterogeneity of brain matter and to accurately calibrate its local viscoelastic material properties accordingly. specifically, it is important to compile the existing and disparate literature on attenuation power laws and dispersion to make progress in wave physics of brain matter, a field of research that has the potential to explain the mechanisms at play in diffuse axonal injury and mild traumatic brain injury in general. currently, viscous effects in the brain are modelled using prony-series, i.e., a sum of decaying exponentials at different relaxation times. here we collect and synthesise the prony-series coefficients appearing in the literature for twelve regions: brainstem, basal ganglia, cerebellum, corona radiata, corpus callosum, cortex, dentate gyrus, hippocampus, thalamus, grey matter, white matter, homogeneous brain, and for eight different mammals: pig, rat, human, mouse, cow, sheep, monkey and dog. using this data, we compute the fractional-exponent attenuation power laws for different tissues of the brain, the corresponding dispersion laws resulting from causality, and the averaged prony-series coefficients.","wed, 5 apr 2023 17:30:21 utc (3,601 kb)"
"84","equivariant similarity for vision-language foundation models","tan wang, kevin lin, linjie li, chung-ching lin, zhengyuan yang, hanwang zhang, zicheng liu, lijuan wang","computer vision and pattern recognition (cs.cv)","this study explores the concept of equivariance in vision-language foundation models (vlms), focusing specifically on the multimodal similarity function that is not only the major training objective but also the core delivery to support downstream tasks. unlike the existing image-text similarity objective which only categorizes matched pairs as similar and unmatched pairs as dissimilar, equivariance also requires similarity to vary faithfully according to the semantic changes. this allows vlms to generalize better to nuanced and unseen multimodal compositions. however, modeling equivariance is challenging as the ground truth of semantic change is difficult to collect. for example, given an image-text pair about a dog, it is unclear to what extent the similarity changes when the pixel is changed from dog to cat? to this end, we propose eqsim, a regularization loss that can be efficiently calculated from any two matched training pairs and easily pluggable into existing image-text retrieval fine-tuning. meanwhile, to further diagnose the equivariance of vlms, we present a new challenging benchmark eqben. compared to the existing evaluation sets, eqben is the first to focus on ""visual-minimal change"". extensive experiments show the lack of equivariance in current vlms and validate the effectiveness of eqsim. code is available at this https url.","sat, 25 mar 2023 13:22:56 utc (3,726 kb)[v2] mon, 9 oct 2023 16:55:08 utc (3,991 kb)"
"85","searching a tree with signals: routing mobile sensors for targets emitting radiation, chemicals or scents","steve alpern, thomas lidbetter","discrete mathematics (cs.dm)","adversarial search of a network for an immobile hider (or target) was introduced and solved for rooted trees by gal (1979). in this zero-sum game, a hider picks a point to hide on the tree and a searcher picks a unit speed trajectory starting at the root. the payoff (to the hider) is the search time. in gal's model (and many subsequent investigations), the searcher receives no additional information after the hider chooses his location. in reality, the searcher will often receive such locational information. for homeland security, mobile sensors on vehicles have been used to locate radioactive material stashed in an urban environment. in a military setting, mobile sensors can detect chemical signatures from land mines. in predator-prey search, the predator often has specially attuned senses (hearing for wolves, vision for eagles, smell for dogs, sonar for bats, pressure sensors for sharks) that may help it locate the prey. how can such noisy locational information be used by the searcher to modify her route? we model such information as signals which indicate which of two branches of a binary tree should be searched first, where the signal has a known accuracy p<1. our solution calculates which branch (at every branch node) is favored, meaning it should always be searched first when the signal is in that direction. when the signal is in the other direction, we calculate the probability the signal should be followed. compared to the optimal hider strategy in the classic search game of gal, the hider's optimal distribution for this model is more skewed towards leaf nodes that are further from the root.","thu, 23 mar 2023 15:47:20 utc (69 kb)"
"86","semianalytically designed dual polarized printed-circuit-board (pcb) metagratings","yuval shklarsh, ariel epstein","applied physics (physics.app-ph)","metagratings (mgs), sparse (periodic) composites of subwavelength polarizable particles (meta-atoms), have demonstrated highly efficient diffraction engineering capabilities via meticulous tailoring of the interaction between individual scatterers. to date, mgs at microwave frequencies have mostly been devised for either transverse electric (te) or transverse magnetic (tm) polarized scenarios, which limits their use in many practical applications. herein, we bridge this gap and present a comprehensive semianalytical design method for dual-polarized mgs with a separable response for te and tm waves. first, by relating a printed circuit board (pcb) compatible array of dog-bone elements with the canonical dipole line analytical model, we establish a meta-atom for tm-polarized mgs, featuring negligible interaction with te waves. subsequently, we integrate the proposed configuration with a systematic synthesis scheme to implement a tm beam splitter mg, harnessing the equivalent dipole line model to resolve analytically the optimal meta-atom coordinates and dog-bone polarizability, without resorting to full-wave optimization. finally, we show that a dual-polarized mg beam splitter can be conveniently synthesized correspondingly, combining the tm-polarized structure as is with previously reported te-polarized mg designs. this work paves a clear path towards integration of sparse, semianlaytically synthesized, efficient mgs in practical dual-polarized communication and imaging applications.","tue, 21 mar 2023 21:21:51 utc (2,499 kb)"
"87","dynamic and polarimetric vlbi imaging with a multiscalar approach","hendrik müller, andrei lobanov","instrumentation and methods for astrophysics (astro-ph.im)","recently multiscale imaging approaches such as dog-hit were developed to solve the vlbi imaging problem and showed a promising performance: they are fast, accurate, unbiased and automatic. we extend the multiscalar imaging approach to polarimetric imaging, reconstructions of dynamically evolving sources and finally to dynamic polarimetric reconstructions. these extensions (mr-support imaging) utilize a multiscalar approach. the time-averaged stokes i image is decomposed by a wavelet transform into single subbands. we use the set of statistically significant wavelet coefficients, the multiresolution support, computed by dog-hit as a prior in a constrained minimization manner: we fit the single-frame (polarimetric) observables by only varying the coefficients in the multiresolution support. the eht is a vlbi array imaging supermassive black holes. we demonstrate on synthetic data that mr-support imaging offers ample regularization and is able to recover simple geometric dynamics at the horizon scale in a typical eht setup. the approach is relatively lightweight, fast and largely automatic and data driven. the ngeht is a planned extension of the eht designed to recover movies at the event horizon scales of a supermassive black hole. we benchmark the performance of mr-support imaging for the denser ngeht configuration demonstrating the major improvements the additional ngeht antennas will bring to dynamic, polarimetric reconstructions. current and upcoming instruments offer the observational possibility to do polarimetric imaging of dynamically evolving structural patterns with highest spatial and temporal resolution. state-of-the-art dynamic reconstruction methods can capture this motion with a range of temporal regularizers and priors. with this work, we add an additional, simpler regularizer to the list: constraining the reconstruction to the multiresolution support.","tue, 21 mar 2023 14:21:43 utc (9,285 kb)"
"88","legs as manipulator: pushing quadrupedal agility beyond locomotion","xuxin cheng, ashish kumar, deepak pathak","robotics (cs.ro)","locomotion has seen dramatic progress for walking or running across challenging terrains. however, robotic quadrupeds are still far behind their biological counterparts, such as dogs, which display a variety of agile skills and can use the legs beyond locomotion to perform several basic manipulation tasks like interacting with objects and climbing. in this paper, we take a step towards bridging this gap by training quadruped robots not only to walk but also to use the front legs to climb walls, press buttons, and perform object interaction in the real world. to handle this challenging optimization, we decouple the skill learning broadly into locomotion, which involves anything that involves movement whether via walking or climbing a wall, and manipulation, which involves using one leg to interact while balancing on the other three legs. these skills are trained in simulation using curriculum and transferred to the real world using our proposed sim2real variant that builds upon recent locomotion success. finally, we combine these skills into a robust long-term plan by learning a behavior tree that encodes a high-level task hierarchy from one clean expert demonstration. we evaluate our method in both simulation and real-world showing successful executions of both short as well as long-range tasks and how robustness helps confront external perturbations. videos at this https url","mon, 20 mar 2023 17:59:58 utc (4,518 kb)[v2] wed, 22 mar 2023 08:48:15 utc (4,518 kb)"
"89","escape: countering systematic errors from machine's blind spots via interactive visual analysis","yongsu ahn, yu-ru lin, panpan xu, zeng dai","machine learning (cs.lg)","classification models learn to generalize the associations between data samples and their target classes. however, researchers have increasingly observed that machine learning practice easily leads to systematic errors in ai applications, a phenomenon referred to as ai blindspots. such blindspots arise when a model is trained with training samples (e.g., cat/dog classification) where important patterns (e.g., black cats) are missing or periphery/undesirable patterns (e.g., dogs with grass background) are misleading towards a certain class. even more sophisticated techniques cannot guarantee to capture, reason about, and prevent the spurious associations. in this work, we propose escape, a visual analytic system that promotes a human-in-the-loop workflow for countering systematic errors. by allowing human users to easily inspect spurious associations, the system facilitates users to spontaneously recognize concepts associated misclassifications and evaluate mitigation strategies that can reduce biased associations. we also propose two statistical approaches, relative concept association to better quantify the associations between a concept and instances, and debias method to mitigate spurious associations. we demonstrate the utility of our proposed escape system and statistical measures through extensive evaluation including quantitative experiments, usage scenarios, expert interviews, and controlled user experiments.","thu, 16 mar 2023 21:29:50 utc (4,991 kb)"
"90","unified multi-modal latent diffusion for joint subject and text conditional image generation","yiyang ma, huan yang, wenjing wang, jianlong fu, jiaying liu","computer vision and pattern recognition (cs.cv)","language-guided image generation has achieved great success nowadays by using diffusion models. however, texts can be less detailed to describe highly-specific subjects such as a particular dog or a certain car, which makes pure text-to-image generation not accurate enough to satisfy user requirements. in this work, we present a novel unified multi-modal latent diffusion (umm-diffusion) which takes joint texts and images containing specified subjects as input sequences and generates customized images with the subjects. to be more specific, both input texts and images are encoded into one unified multi-modal latent space, in which the input images are learned to be projected to pseudo word embedding and can be further combined with text to guide image generation. besides, to eliminate the irrelevant parts of the input images such as background or illumination, we propose a novel sampling technique of diffusion models used by the image generator which fuses the results guided by multi-modal input and pure text input. by leveraging the large-scale pre-trained text-to-image generator and the designed image encoder, our method is able to generate high-quality images with complex semantics from both aspects of input texts and images.","thu, 16 mar 2023 13:50:20 utc (18,573 kb)"
"91","enable natural tactile interaction for robot dog based on large-format distributed flexible pressure sensors","lishuang zhan, yancheng cao, qitai chen, haole guo, jiasi gao, yiyue luo, shihui guo, guyue zhou, jiangtao gong","robotics (cs.ro)","touch is an important channel for human-robot interaction, while it is challenging for robots to recognize human touch accurately and make appropriate responses. in this paper, we design and implement a set of large-format distributed flexible pressure sensors on a robot dog to enable natural human-robot tactile interaction. through a heuristic study, we sorted out 81 tactile gestures commonly used when humans interact with real dogs and 44 dog reactions. a gesture classification algorithm based on resnet is proposed to recognize these 81 human gestures, and the classification accuracy reaches 98.7%. in addition, an action prediction algorithm based on transformer is proposed to predict dog actions from human gestures, reaching a 1-gram bleu score of 0.87. finally, we compare the tactile interaction with the voice interaction during a freedom human-robot-dog interactive playing study. the results show that tactile interaction plays a more significant role in alleviating user anxiety, stimulating user excitement and improving the acceptability of robot dogs.","tue, 14 mar 2023 02:35:04 utc (10,195 kb)"
"92","automatic detection of signalling behaviour from assistance dogs as they forecast the onset of epileptic seizures in humans","hitesh raju, ankit sharma, aoife smeaton, alan f. smeaton","machine learning (cs.lg)","epilepsy or the occurrence of epileptic seizures, is one of the world's most well-known neurological disorders affecting millions of people. seizures mostly occur due to non-coordinated electrical discharges in the human brain and may cause damage, including collapse and loss of consciousness. if the onset of a seizure can be forecast then the subject can be placed into a safe environment or position so that self-injury as a result of a collapse can be minimised. however there are no definitive methods to predict seizures in an everyday, uncontrolled environment. previous studies have shown that pet dogs have the ability to detect the onset of an epileptic seizure by scenting the characteristic volatile organic compounds exuded through the skin by a subject prior a seizure occurring and there are cases where assistance dogs, trained to scent the onset of a seizure, can signal this to their owner/trainer. in this work we identify how we can automatically detect the signalling behaviours of trained assistance dogs and use this to alert their owner. using data from an accelerometer worn on the collar of a dog we describe how we gathered movement data from 11 trained dogs for a total of 107 days as they exhibited signalling behaviour on command. we present the machine learning techniques used to accurately detect signalling from routine dog behaviour. this work is a step towards automatic alerting of the likely onset of an epileptic seizure from the signalling behaviour of a trained assistance dog.","sat, 11 mar 2023 13:32:02 utc (338 kb)"
"93","j1406+0102: dust obscured galaxy hiding super eddington accretion system with bright radio emission","hikaru fukuchi, kohei ichikawa, masayuki akiyama, shigeo kimura, yoshiki toba, kohei inayoshi, akatoki noboriguchi, toshihiro kawaguchi, xiaoyang chen, itsna k. fitriana","astrophysics of galaxies (astro-ph.ga)","recent high-$z$ quasar observations strongly indicate that super-eddington accretion is a crucial phase to describe the existence of supermassive black holes (smbhs) with $m_\mathrm{bh} \gtrsim 10^9 m_\odot$ at $z \gtrsim 7$. motivated by the theoretical suggestion that the super-eddington phase efficiently produces outflows and jets bright in radio bands, we search and find a super-eddington radio-loud dust-obscured galaxy (dog) j1406+0102 at $z=0.236$, through cross-matching of the infrared-bright dogs of noboriguchi et al. (2019) with the vla/first 1.4 ghz radio and the sdss optical spectral catalog. dog j1406+0102 shows broad components in the balmer lines. assuming those lines are from the broad line region, it gives bh mass estimation of $\log\ (m_\mathrm{bh}/m_\odot)=7.30 \pm 0.25$, and agn luminosity of $\log (l_\mathrm{bol,[oiii]}/\mathrm{erg}~\mathrm{s}^{-1}) = 45.91\pm0.38$ estimated from the intrinsic [oiii] luminosity, resulting in super-eddington accretion of $\lambda_\mathrm{edd}\simeq 3$. we show that 1) dog j1406+0102 is operating strong agn feedback: the [oiii] outflow velocity exceeds the escape velocity of the host galaxy halo and the kinetic efficiency is obtained as $\approx$ 8% that can be sufficient to quench the host galaxy, 2) the expected future growth pathway of dog j1406+0102 would join an over-massive bh trajectory and 3) radio-loud dogs can provide a significant contribution to the high-energy ($\gtrsim$ 100 tev) cosmic neutrino background if we assume dog j1406+0102 as a representative of radio-loud dogs.","thu, 9 mar 2023 22:16:22 utc (1,527 kb)"
"94","spawrious: a benchmark for fine control of spurious correlation biases","aengus lynch, gbètondji j-s dovonon, jean kaddour, ricardo silva","computer vision and pattern recognition (cs.cv)","the problem of spurious correlations (scs) arises when a classifier relies on non-predictive features that happen to be correlated with the labels in the training data. for example, a classifier may misclassify dog breeds based on the background of dog images. this happens when the backgrounds are correlated with other breeds in the training data, leading to misclassifications during test time. previous sc benchmark datasets suffer from varying issues, e.g., over-saturation or only containing one-to-one (o2o) scs, but no many-to-many (m2m) scs arising between groups of spurious attributes and classes. in this paper, we present \benchmark-\{o2o, m2m\}-\{easy, medium, hard\}, an image classification benchmark suite containing spurious correlations between classes and backgrounds. to create this dataset, we employ a text-to-image model to generate photo-realistic images and an image captioning model to filter out unsuitable ones. the resulting dataset is of high quality and contains approximately 152k images. our experimental results demonstrate that state-of-the-art group robustness methods struggle with \benchmark, most notably on the hard-splits with none of them getting over $70\%$ accuracy on the hardest split using a resnet50 pretrained on imagenet. by examining model misclassifications, we detect reliances on spurious backgrounds, demonstrating that our dataset provides a significant challenge.","thu, 9 mar 2023 18:22:12 utc (1,920 kb)[v2] thu, 8 jun 2023 18:00:46 utc (26,698 kb)[v3] mon, 12 jun 2023 14:04:53 utc (2,810 kb)"
"95","demystifying what code summarization models learned","yu wang, ke wang","programming languages (cs.pl)","study patterns that models have learned has long been a focus of pattern recognition research. explaining what patterns are discovered from training data, and how patterns are generalized to unseen data are instrumental to understanding and advancing the pattern recognition methods. unfortunately, the vast majority of the application domains deal with continuous data (i.e. statistical in nature) out of which extracted patterns can not be formally defined. for example, in image classification, there does not exist a principle definition for a label of cat or dog. even in natural language, the meaning of a word can vary with the context it is surrounded by. unlike the aforementioned data format, programs are a unique data structure with a well-defined syntax and semantics, which creates a golden opportunity to formalize what models have learned from source code. this paper presents the first formal definition of patterns discovered by code summarization models (i.e. models that predict the name of a method given its body), and gives a sound algorithm to infer a context-free grammar (cfg) that formally describes the learned patterns. we realize our approach in patic which produces cfgs for summarizing the patterns discovered by code summarization models. in particular, we pick two prominent instances, code2vec and code2seq, to evaluate patic. patic shows that the patterns extracted by each model are heavily restricted to local, and syntactic code structures with little to none semantic implication. based on these findings, we present two example uses of the formal definition of patterns: a new method for evaluating the robustness and a new technique for improving the accuracy of code summarization models. our work opens up this exciting, new direction of studying what models have learned from source code.","sat, 4 mar 2023 06:06:15 utc (5,696 kb)"
"96","3d generation on imagenet","ivan skorokhodov, aliaksandr siarohin, yinghao xu, jian ren, hsin-ying lee, peter wonka, sergey tulyakov","computer vision and pattern recognition (cs.cv)","existing 3d-from-2d generators are typically designed for well-curated single-category datasets, where all the objects have (approximately) the same scale, 3d location, and orientation, and the camera always points to the center of the scene. this makes them inapplicable to diverse, in-the-wild datasets of non-alignable scenes rendered from arbitrary camera poses. in this work, we develop a 3d generator with generic priors (3dgp): a 3d synthesis framework with more general assumptions about the training data, and show that it scales to very challenging datasets, like imagenet. our model is based on three new ideas. first, we incorporate an inaccurate off-the-shelf depth estimator into 3d gan training via a special depth adaptation module to handle the imprecision. then, we create a flexible camera model and a regularization strategy for it to learn its distribution parameters during training. finally, we extend the recent ideas of transferring knowledge from pre-trained classifiers into gans for patch-wise trained models by employing a simple distillation-based technique on top of the discriminator. it achieves more stable training than the existing methods and speeds up the convergence by at least 40%. we explore our model on four datasets: sdip dogs 256x256, sdip elephants 256x256, lsun horses 256x256, and imagenet 256x256, and demonstrate that 3dgp outperforms the recent state-of-the-art in terms of both texture and geometry quality. code and visualizations: this https url.","thu, 2 mar 2023 17:06:57 utc (24,236 kb)"
